
21:40:07.136156 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 216548:216728, ack 109, win 501, length 180
21:40:07.136193 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 216728:216908, ack 109, win 501, length 180
21:40:07.136230 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 216908:217088, ack 109, win 501, length 180
21:40:07.136268 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 217088:217268, ack 109, win 501, length 180
21:40:07.136306 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 217268:217448, ack 109, win 501, length 180
21:40:07.136352 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 217448:217628, ack 109, win 501, length 180
21:40:07.136389 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 217628:217808, ack 109, win 501, length 180
21:40:07.136420 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 185468, win 8246, length 0
21:40:07.136463 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 217808:218108, ack 109, win 501, length 300
21:40:07.136501 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 218108:218288, ack 109, win 501, length 180
21:40:07.136537 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 218288:218468, ack 109, win 501, length 180
21:40:07.136574 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 218468:218648, ack 109, win 501, length 180
21:40:07.136674 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 218648:218828, ack 109, win 501, length 180
21:40:07.136711 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 187568, win 8246, length 0
21:40:07.136711 IP 38.113.181.243.53135 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 190208, win 8246, length 0
